Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M0,GO:1903278,positive regulation of sodium ion export across plasma membrane,2/51,11/18805,0.18181818181818182,67.04099821746881,11.425194807916588,3.9047000975179065e-4,0.010593621134135537,0.006945660280253058,481/486,2
M0,GO:0010977,negative regulation of neuron projection development,4/51,131/18805,0.030534351145038167,11.258793593773387,6.144358058508293,4.362127186035377e-4,0.01166557441751175,0.0076484816525071424,348/1601/3280/57142,4
M0,GO:0017038,protein import,2/51,12/18805,0.16666666666666666,61.45424836601307,10.924023997843754,4.6775127523038143e-4,0.012238771164523283,0.008024295534094776,348/1191,2
M0,GO:1902895,positive regulation of miRNA transcription,3/51,56/18805,0.05357142857142857,19.7531512605042,7.328961985076681,4.7072196786628013e-4,0.012238771164523283,0.008024295534094776,1958/2353/3725,3
M0,GO:0034205,amyloid-beta formation,3/51,57/18805,0.05263157894736842,19.40660474716202,7.257664622145196,4.959262373310185e-4,0.012487299251606609,0.008187241861995787,348/1191/57142,3
M0,GO:1902991,regulation of amyloid precursor protein catabolic process,3/51,57/18805,0.05263157894736842,19.40660474716202,7.257664622145196,4.959262373310185e-4,0.012487299251606609,0.008187241861995787,348/1191/57142,3
M0,GO:2001234,negative regulation of apoptotic signaling pathway,5/51,243/18805,0.0205761316872428,7.586944242717664,5.389369910757414,5.002924379650084e-4,0.012487299251606609,0.008187241861995787,10449/1191/2244/2950/7009,5
M0,GO:0048711,positive regulation of astrocyte differentiation,2/51,13/18805,0.15384615384615385,56.72699849170438,10.481274133235436,5.518382925509914e-4,0.013592648469150734,0.008911959129009087,3280/3398,2
M0,GO:0033002,muscle cell proliferation,5/51,251/18805,0.0199203187250996,7.345129286774471,5.277421884544531,5.795295383629441e-4,0.014089341504096511,0.009237613694206327,348/10370/2353/3398/3725,5
M0,GO:0007179,transforming growth factor beta receptor signaling pathway,5/51,252/18805,0.01984126984126984,7.315981948334889,5.263775176560311,5.900603999583666e-4,0.014161449599000796,0.00928489104387929,10370/1601/2353/3397/3725,5
M0,GO:0022029,telencephalon cell migration,3/51,62/18805,0.04838709677419355,17.8415559772296,6.926626319144557,6.349258716646433e-4,0.014672257354434438,0.009619799862387852,3912/57142/23224,3
M0,GO:0032536,regulation of cell projection size,2/51,14/18805,0.14285714285714285,52.6750700280112,10.086335243354618,6.426950336878333e-4,0.014672257354434438,0.009619799862387852,7430/4747,2
M0,GO:0048715,negative regulation of oligodendrocyte differentiation,2/51,14/18805,0.14285714285714285,52.6750700280112,10.086335243354618,6.426950336878333e-4,0.014672257354434438,0.009619799862387852,3280/3400,2
M0,GO:1905907,negative regulation of amyloid fibril formation,2/51,14/18805,0.14285714285714285,52.6750700280112,10.086335243354618,6.426950336878333e-4,0.014672257354434438,0.009619799862387852,348/1191,2
M0,GO:0008347,glial cell migration,3/51,63/18805,0.047619047619047616,17.558356676003736,6.865035616196641,6.654022951838426e-4,0.015007627669688594,0.009839683908489036,3912/57142/23224,3
M0,GO:0030007,intracellular potassium ion homeostasis,2/51,15/18805,0.13333333333333333,49.16339869281046,9.731115306478832,7.402856093456308e-4,0.015570951243764281,0.010209024488432947,481/486,2
M0,GO:0051412,response to corticosterone,2/51,15/18805,0.13333333333333333,49.16339869281046,9.731115306478832,7.402856093456308e-4,0.015570951243764281,0.010209024488432947,2353/4747,2
M0,GO:0061307,cardiac neural crest cell differentiation involved in heart development,2/51,15/18805,0.13333333333333333,49.16339869281046,9.731115306478832,7.402856093456308e-4,0.015570951243764281,0.010209024488432947,10370/3280,2
M0,GO:0061308,cardiac neural crest cell development involved in heart development,2/51,15/18805,0.13333333333333333,49.16339869281046,9.731115306478832,7.402856093456308e-4,0.015570951243764281,0.010209024488432947,10370/3280,2
M0,GO:2001138,regulation of phospholipid transport,2/51,15/18805,0.13333333333333333,49.16339869281046,9.731115306478832,7.402856093456308e-4,0.015570951243764281,0.010209024488432947,348/1622,2
M0,GO:2001140,positive regulation of phospholipid transport,2/51,15/18805,0.13333333333333333,49.16339869281046,9.731115306478832,7.402856093456308e-4,0.015570951243764281,0.010209024488432947,348/1622,2
M0,GO:2000630,positive regulation of miRNA metabolic process,3/51,67/18805,0.04477611940298507,16.51009657594381,6.6321377739969005,7.966048615418302e-4,0.01656938112007007,0.01086364056792718,1958/2353/3725,3
M0,GO:0032414,positive regulation of ion transmembrane transporter activity,3/51,68/18805,0.04411764705882353,16.267301038062286,6.577031932821407,8.317845624526169e-4,0.01711099671331098,0.011218748407400246,288/481/486,3
M0,GO:0048645,animal organ formation,3/51,69/18805,0.043478260869565216,16.03154305200341,6.52308330778368,8.679374614014411e-4,0.017660640518951064,0.011579119908399087,10370/3280/7849,3
M0,GO:0061351,neural precursor cell proliferation,4/51,160/18805,0.025,9.218137254901961,5.443966465214022,9.240540500664254e-4,0.01825248515199017,0.011967160192994005,2018/3398/3400/10653,4
M0,GO:0042987,amyloid precursor protein catabolic process,3/51,71/18805,0.04225352112676056,15.579950289975145,6.41849508757491,9.432051821057529e-4,0.01825248515199017,0.011967160192994005,348/1191/57142,3
M0,GO:0050435,amyloid-beta metabolic process,3/51,71/18805,0.04225352112676056,15.579950289975145,6.41849508757491,9.432051821057529e-4,0.01825248515199017,0.011967160192994005,348/1191/57142,3
M0,GO:0006898,receptor-mediated endocytosis,5/51,280/18805,0.017857142857142856,6.5843837535014,4.9095130159999005,9.478061968855717e-4,0.01825248515199017,0.011967160192994005,348/1191/1601/1803/7430,5
M0,GO:0035641,locomotory exploration behavior,2/51,17/18805,0.11764705882352941,43.37946943483276,9.115971394426015,9.555253979140153e-4,0.01825248515199017,0.011967160192994005,348/1803,2
